Id;X;Y;Z
0;0;0;1
1;0;0.94280904158203e+00;-0.333333333333333e+00
2;-0.816496580927726e+00;-0.471404520791032e+00;-0.333333333333333e+00
3;0.816496580927726e+00;-0.471404520791032e+00;-0.333333333333333e+00
