Id;X;Y;Z
0;0;0;1
1;-0.707106781186548e+00;-0.707106781186548e+00;0
2;0.707106781186548e+00;-0.707106781186548e+00;0
3;0.707106781186548e+00;0.707106781186548e+00;0
4;-0.707106781186548e+00;0.707106781186548e+00;0
5;0;0;-1
