Id;Marker;X;Y;Z
0;0;0.00000000000000000e+00;0.00000000000000000e+00;1.00000000000000000e+00
1;0;8.94000000000000017e-01;0.00000000000000000e+00;4.47000000000000008e-01
2;0;2.76000000000000023e-01;8.50999999999999979e-01;4.47000000000000008e-01
3;0;-7.23999999999999977e-01;5.26000000000000023e-01;4.47000000000000008e-01
4;0;-7.23999999999999977e-01;-5.26000000000000023e-01;4.47000000000000008e-01
5;0;2.76000000000000023e-01;-8.50999999999999979e-01;4.47000000000000008e-01
6;0;7.23999999999999977e-01;5.26000000000000023e-01;-4.47000000000000008e-01
7;0;-2.76000000000000023e-01;8.50999999999999979e-01;-4.47000000000000008e-01
8;0;-8.94000000000000017e-01;0.00000000000000000e+00;-4.47000000000000008e-01
9;0;-2.76000000000000023e-01;-8.50999999999999979e-01;-4.47000000000000008e-01
10;0;7.23999999999999977e-01;-5.26000000000000023e-01;-4.47000000000000008e-01
11;0;0.00000000000000000e+00;0.00000000000000000e+00;-1.00000000000000000e+00
