Id;Origin;End
0;0;1
1;0;2
2;0;3
3;0;4
4;0;5
5;1;2
6;2;3
7;3;4
8;4;5
9;5;1
10;1;6
11;2;7
12;3;8
13;4;9
14;5;10
15;6;7
16;7;8
17;8;9
18;9;10
19;10;6
20;5;9
21;4;8
22;3;7
23;2;6
24;1;10
25;11;6
26;7;11
27;8;11
28;9;11
29;10;11
